,Player Name,Team,Year,Price,Replacement,Retained,Country,Age,Role,Batting Style,Bowling Style,C/U/A,Base Price
196,Josh Hazlewood,RCB,2022,7.75,No,No,Australia,31,Bowler,LHB,Right Arm Fast,Capped,2.0
197,Faf du Plessis,RCB,2022,7.0,No,No,South Africa,37,Batsman,RHB,Right Arm Leg Spin,Capped,2.0
198,Mohammed Siraj,RCB,2022,7.0,No,Yes,India,27,Bowler,RHB,Right Arm Fast,Capped,
199,Dinesh Karthik,RCB,2022,5.5,No,No,India,36,Wicketkeeper,RHB,-,Capped,2.0
200,Anuj Rawat,RCB,2022,3.4,No,No,India,22,Wicketkeeper,LHB,-,Uncapped,0.2
201,Shahbaz Ahmed,RCB,2022,2.4,No,No,India,27,All-Rounder,LHB,Left Arm Slow Orthodox,Uncapped,0.3
202,David Willey,RCB,2022,2.0,No,No,England,32,All-Rounder,LHB,Left Arm Fast Medium,Capped,2.0
203,Sherfane Rutherford,RCB,2022,1.0,No,No,West Indies,23,All-Rounder,LHB,Right Arm Medium,Capped,1.0
204,Mahipal Lomror,RCB,2022,0.95,No,No,India,22,All-Rounder,LHB,Left Arm Slow Orthodox,Uncapped,0.4
205,Finn Allen,RCB,2022,0.8,No,No,New Zealand,22,Batsman,RHB,Right Arm Off Spin,Capped,0.5
206,Jason Behrendorff,RCB,2022,0.75,No,No,Australia,31,Bowler,RHB,Left Arm Fast Medium,Capped,0.75
207,Siddarth Kaul,RCB,2022,0.75,No,No,India,31,Bowler,RHB,Right Arm Fast Medium,Capped,0.75
208,Karn Sharma,RCB,2022,0.5,No,No,India,34,Bowler,LHB,Right Arm Leg Spin,Capped,0.5
209,Suyash Prabhudessai,RCB,2022,0.3,No,No,India,24,All-Rounder,RHB,Right Arm Fast Medium,Uncapped,0.2
210,Chama Milind,RCB,2022,0.25,No,No,India,27,Bowler,LHB,Left Arm Fast,Uncapped,0.2
211,Aneeshwar Gautam,RCB,2022,0.2,No,No,India,19,All-Rounder,LHB,Left Arm Slow Orthodox,Uncapped,0.2
212,Akash Deep,RCB,2022,0.2,No,No,India,25,Bowler,RHB,Right Arm Fast Medium,Uncapped,0.2
213,Luvnith Sisodia,RCB,2022,0.2,No,No,India,22,Wicketkeeper,LHB,Right Arm Off Spin,Uncapped,0.2
214,Kane Williamson,SRH,2022,14.0,No,Yes,New Zealand,31,Batsman,RHB,-,Capped,
215,Nicholas Pooran,SRH,2022,10.75,No,No,West Indies,26,Wicketkeeper,LHB,-,Capped,1.5
216,Washington Sundar,SRH,2022,8.75,No,No,India,22,All-Rounder,LHB,Right Arm Off Spin,Capped,1.5
217,Rahul Tripathi,SRH,2022,8.5,No,No,India,31,Batsman,RHB,Right Arm Medium,Uncapped,0.4
218,Romario Shepherd,SRH,2022,7.75,No,No,West Indies,27,All-Rounder,RHB,Right Arm Fast Medium,Capped,0.75
219,Abhishek Sharma,SRH,2022,6.5,No,No,India,21,All-Rounder,LHB,Left Arm Slow Orthodox,Uncapped,0.2
