,match_id,winner,venue,year,toss_winner,toss_decision,match_type,team_1,team_1_score,team_1_wickets,team_1_balls_faced,team_2,team_2_score,team_2_wickets,team_2_balls_faced
82,1426288,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024,SRH,bat,Group Stage,SRH,201,3,120,RR,200,7,120
83,1304080,RR,"Wankhede Stadium, Mumbai",2022,DC,field,Group Stage,RR,222,2,120,DC,207,8,120
84,1473440,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",2025,CSK,field,Group Stage,MI,155,9,120,CSK,158,6,118
85,1473505,SRH,"Arun Jaitley Stadium, Delhi",2025,SRH,bat,Group Stage,SRH,278,3,120,KKR,168,10,116
86,1359540,RR,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2023,RR,field,Group Stage,PBKS,187,5,120,RR,189,6,120
87,1304096,DC,"Brabourne Stadium, Mumbai",2022,SRH,field,Group Stage,DC,207,3,120,SRH,186,8,120
88,1304079,CSK,"Dr DY Patil Sports Academy, Mumbai",2022,CSK,field,Group Stage,MI,155,7,120,CSK,156,7,120
89,1473456,LSG,"Eden Gardens, Kolkata",2025,KKR,field,Group Stage,LSG,238,3,120,KKR,234,7,120
90,1359517,RCB,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,RCB,bat,Group Stage,RCB,126,9,120,LSG,108,10,120
91,1426271,MI,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024,PBKS,field,Group Stage,MI,192,7,120,PBKS,183,10,120
92,1304055,RR,"Dr DY Patil Sports Academy, Mumbai",2022,MI,field,Group Stage,RR,193,8,120,MI,170,8,120
93,1304110,DC,"Dr DY Patil Sports Academy, Mumbai",2022,PBKS,field,Group Stage,DC,159,7,120,PBKS,142,9,120
94,1473495,No Result,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2025,PBKS,bat,Group Stage,PBKS,122,1,63,DC,0,0,0
95,1359491,RR,"MA Chidambaram Stadium, Chepauk, Chennai",2023,CSK,field,Group Stage,RR,175,8,120,CSK,172,6,120
96,1422137,RR,"Sawai Mansingh Stadium, Jaipur",2024,RR,field,Group Stage,RCB,183,3,120,RR,189,4,118
97,1359487,KKR,"Narendra Modi Stadium, Ahmedabad",2023,GT,bat,Group Stage,GT,204,4,120,KKR,207,7,120
98,1422121,KKR,"Eden Gardens, Kolkata",2024,SRH,field,Group Stage,KKR,208,7,120,SRH,204,7,120
99,1312197,GT,"Eden Gardens, Kolkata",2022,GT,field,Qualifier 1,RR,188,6,120,GT,191,3,120
100,1304106,PBKS,"Brabourne Stadium, Mumbai",2022,RCB,field,Group Stage,PBKS,209,9,120,RCB,155,9,120
101,1473483,RCB,"Arun Jaitley Stadium, Delhi",2025,RCB,field,Group Stage,DC,162,8,120,RCB,165,4,115
102,1473482,MI,"Wankhede Stadium, Mumbai",2025,LSG,field,Group Stage,MI,215,7,120,LSG,161,10,120
103,1304107,KKR,"Maharashtra Cricket Association Stadium, Pune",2022,KKR,bat,Group Stage,KKR,177,6,120,SRH,123,8,120
104,1422120,PBKS,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024,PBKS,field,Group Stage,DC,174,9,120,PBKS,177,6,120
105,1359486,CSK,"Wankhede Stadium, Mumbai",2023,CSK,field,Group Stage,MI,157,8,120,CSK,159,3,114
106,1422136,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024,SRH,field,Group Stage,CSK,165,5,120,SRH,166,4,111
107,1359490,MI,"Arun Jaitley Stadium, Delhi",2023,MI,field,Group Stage,DC,172,10,120,MI,173,4,120
108,1473494,CSK,"Eden Gardens, Kolkata",2025,KKR,bat,Group Stage,KKR,179,6,120,CSK,183,8,120
109,1304054,KKR,"Wankhede Stadium, Mumbai",2022,KKR,field,Group Stage,PBKS,137,10,118,KKR,141,4,92
110,1304111,SRH,"Wankhede Stadium, Mumbai",2022,MI,field,Group Stage,SRH,193,6,120,MI,190,7,120
111,1426270,DC,"Narendra Modi Stadium, Ahmedabad",2024,DC,field,Group Stage,GT,89,10,112,DC,92,4,55
112,1359516,MI,"Wankhede Stadium, Mumbai",2023,RR,bat,Group Stage,RR,212,7,120,MI,214,4,120
113,1473457,GT,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2025,GT,field,Group Stage,SRH,152,8,120,GT,153,3,103
